date,category,region,units,price,revenue
2025-01-01,Sports,APAC,2,33.69,67.38
2025-01-01,Apparel,AMER,1,40.85,40.85
2025-01-01,Home,APAC,8,25.25,202.0
2025-01-01,Food,APAC,3,25.7,77.1
2025-01-01,Food,APAC,3,21.8,65.4
2025-01-01,Sports,AMER,5,32.41,162.05
2025-01-01,Home,AMER,33,38.97,1286.01
2025-01-01,Food,APAC,1,29.06,29.06
2025-01-01,Sports,APAC,27,25.1,677.7
2025-01-01,Food,EMEA,10,37.48,374.8
2025-01-01,Sports,AMER,8,26.95,215.6
2025-01-01,Gadgets,EMEA,9,32.9,296.1
2025-01-01,Apparel,EMEA,6,19.27,115.62
2025-01-01,Apparel,EMEA,5,31.47,157.35
2025-01-01,Apparel,EMEA,21,22.64,475.44
2025-01-01,Sports,APAC,26,39.41,1024.66
2025-01-01,Food,APAC,3,26.21,78.63
2025-01-01,Sports,APAC,2,38.36,76.72
2025-01-01,Food,APAC,1,14.89,14.89
2025-01-01,Home,AMER,10,18.97,189.7
2025-01-01,Home,AMER,12,28.24,338.88
2025-01-01,Gadgets,AMER,16,24.91,398.56
2025-01-01,Sports,EMEA,1,41.65,41.65
2025-01-01,Food,AMER,8,20.91,167.28
2025-01-01,Home,AMER,6,32.79,196.74
2025-01-01,Gadgets,APAC,7,24.74,173.18
2025-01-02,Home,APAC,10,28.7,287.0
2025-01-02,Home,AMER,19,22.18,421.42
2025-01-02,Gadgets,APAC,6,28.14,168.84
2025-01-02,Food,AMER,12,32.76,393.12
2025-01-02,Sports,APAC,1,23.43,23.43
2025-01-02,Apparel,EMEA,14,25.89,362.46
2025-01-02,Gadgets,APAC,17,25.66,436.22
2025-01-02,Home,EMEA,2,34.01,68.02
2025-01-02,Gadgets,AMER,19,36.7,697.3
2025-01-02,Gadgets,APAC,16,19.41,310.56
2025-01-02,Home,APAC,6,21.13,126.78
2025-01-02,Home,EMEA,2,37.22,74.44
2025-01-02,Gadgets,APAC,1,23.13,23.13
2025-01-02,Apparel,AMER,3,23.32,69.96
2025-01-02,Gadgets,APAC,3,29.38,88.14
2025-01-02,Food,APAC,9,32.66,293.94
2025-01-02,Apparel,APAC,6,39.04,234.24
2025-01-02,Home,APAC,11,35.92,395.12
2025-01-02,Food,EMEA,9,22.85,205.65
2025-01-02,Gadgets,APAC,4,30.52,122.08
2025-01-02,Food,AMER,8,17.49,139.92
2025-01-02,Sports,APAC,10,30.45,304.5
2025-01-02,Apparel,APAC,10,23.2,232.0
2025-01-02,Apparel,AMER,3,35.32,105.96
2025-01-02,Apparel,APAC,6,30.4,182.4
2025-01-02,Home,AMER,4,33.91,135.64
2025-01-02,Home,AMER,11,34.84,383.24
2025-01-02,Home,APAC,2,39.64,79.28
2025-01-02,Sports,EMEA,1,32.24,32.24
2025-01-02,Food,EMEA,2,24.19,48.38
2025-01-02,Apparel,EMEA,10,20.37,203.7
2025-01-02,Gadgets,APAC,6,35.15,210.9
2025-01-02,Sports,AMER,11,33.24,365.64
2025-01-03,Food,AMER,18,14.81,266.58
2025-01-03,Home,AMER,13,51.78,673.14
2025-01-03,Gadgets,APAC,3,30.65,91.95
2025-01-03,Home,AMER,12,15.63,187.56
2025-01-03,Home,APAC,25,27.95,698.75
2025-01-03,Food,APAC,7,32.59,228.13
2025-01-03,Sports,AMER,3,30.31,90.93
2025-01-03,Gadgets,AMER,2,35.58,71.16
2025-01-03,Apparel,AMER,7,30.64,214.48
2025-01-03,Apparel,AMER,37,30.37,1123.69
2025-01-03,Apparel,EMEA,11,20.76,228.36
2025-01-03,Gadgets,APAC,10,18.88,188.8
2025-01-03,Apparel,AMER,3,22.4,67.2
2025-01-03,Food,EMEA,1,20.43,20.43
2025-01-03,Sports,AMER,4,33.86,135.44
2025-01-03,Sports,EMEA,1,26.02,26.02
2025-01-03,Gadgets,EMEA,7,30.55,213.85
2025-01-03,Food,EMEA,8,26.12,208.96
2025-01-03,Sports,APAC,6,38.61,231.66
2025-01-03,Food,APAC,5,26.77,133.85
2025-01-03,Home,AMER,2,33.4,66.8
2025-01-03,Food,EMEA,6,38.28,229.68
2025-01-03,Home,EMEA,1,24.87,24.87
2025-01-03,Food,EMEA,27,33.94,916.38
2025-01-03,Food,APAC,2,36.83,73.66
2025-01-03,Gadgets,AMER,3,44.02,132.06
2025-01-03,Food,APAC,9,33.14,298.26
2025-01-03,Food,AMER,9,43.14,388.26
2025-01-03,Home,EMEA,4,26.2,104.8
2025-01-03,Food,EMEA,1,28.0,28.0
2025-01-03,Apparel,EMEA,6,44.88,269.28
2025-01-03,Sports,APAC,5,26.54,132.7
2025-01-03,Food,EMEA,3,31.01,93.03
2025-01-03,Apparel,EMEA,22,55.4,1218.8
2025-01-03,Food,AMER,24,30.57,733.68
2025-01-03,Sports,AMER,13,35.89,466.57
2025-01-03,Gadgets,APAC,14,44.37,621.18
2025-01-03,Home,APAC,8,33.91,271.28
2025-01-04,Sports,APAC,1,38.39,38.39
2025-01-04,Apparel,APAC,1,26.01,26.01
2025-01-04,Food,EMEA,10,31.56,315.6
